Nombre_archivo;Namespace;begin_line;end_line;yield_line;;;;;;
tensorflow\compiler\tests\depthwise_conv_op_test.py;ConfigsToTest;64;88;88;;;;;;
tensorflow\compiler\tests\depthwise_conv_op_test.py;ConfigsWithDilationToTest;91;114;114;;;;;;
tensorflow\compiler\tests\depthwise_conv_op_test.py;CheckGradConfigsToTest;117;141;141;;;;;;
tensorflow\compiler\tests\xla_test.py;session;209;229;229;;;;;;
tensorflow\compiler\tests\xla_test.py;device_scope;240;247;247; ;;;;;
tensorflow\python\util\nest.py;_yield_value;211;213;213; ;;;;;
tensorflow\python\util\nest.py;_yield_sorted_items;216;262;234,238,246,249,252,255,259,262;;;;;;
tensorflow\python\util\nest.py;_yield_flat_up_to;974;1001;992,1001;;;;;;
tensorflow\python\util\nest.py;yield_flat_paths;1573;1611;1611;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;59;61;61; ;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;123;125;125; ;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;162;184;167,184;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;205;208;206,207,208;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;224;227;225,226,227; ;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;237;240;238,239, 240;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;254;258;255,256,257,258;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;275;279;276,277,278,279;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;295;300;296,297,298,299,300;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;318;320;319, 320;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;329;332;330,331,332;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator_with_arg;376;378;378;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator_with_arg;393;395;395;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;445;447;447;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;459;460;460;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;476;480;477;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;497;499;499;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;509;511;511;;;;;;
tensorflow\python\framework\ops.py;_variable_creator_scope;3038;3069;3064;;;;;;
tensorflow\python\framework\ops.py;_original_op;4118;4140;4138;;;;;;
tensorflow\python\framework\ops.py;name_scope;4155;4265;4262;;;;;;
tensorflow\python\framework\ops.py;_colocate_with_for_gradient;4339;4353;4347,4351,4353;;;;;;
tensorflow\python\framework\ops.py;colocate_with;4356;4432;4421;;;;;;
tensorflow\python\framework\ops.py;device;4442;4510;4505;;;;;;
tensorflow\python\framework\ops.py;container;4539;4588;4586;;;;;;
tensorflow\python\framework\ops.py;_attr_scope;4834;4894;4886;;;;;;
tensorflow\python\framework\ops.py;_kernel_label_map;4900;4957;4950;;;;;;
tensorflow\python\framework\ops.py;_override_gradient_function;4962;4972;4970;;;;;;
tensorflow\python\framework\ops.py;gradient_override_map;4976;5034;5027;;;;;;
tensorflow\python\framework\ops.py;device;5213;5245;5240,5242;;;;;;
tensorflow\python\framework\ops.py;get_controller;5397;5412;5401;;;;;;
tensorflow\python\framework\ops.py;get_controller;5590;5601;5597;;;;;;
tensorflow\python\framework\ops.py;init_scope;5650;5750;5702,5745;;;;;;
tensorflow\python\framework\ops.py;op_scope;6736;6741;6741;;;;;;
tensorflow\python\framework\test_util.py;skip_if_error;467;495;490;;;;;;
tensorflow\python\framework\test_util.py;device;1603;1610;1610;;;;;;
tensorflow\python\framework\test_util.py;use_gpu;1614;1617;1617;;;;;;
tensorflow\python\framework\test_util.py;force_gpu;1621;1624;1624;;;;;;
tensorflow\python\framework\test_util.py;force_cpu;1628;1631;1631;;;;;;
tensorflow\python\framework\test_util.py;captureWritesToStream;2115;2158;2155;;;;;;
tensorflow\python\framework\test_util.py;session;2276;2317;2313,2317;;;;;;
tensorflow\python\framework\test_util.py;cached_session;2320;2369;2363,2369;;;;;;
tensorflow\python\framework\test_util.py;test_session;2374;2397;2387,2394,2397;;;;;;
tensorflow\python\framework\test_util.py;assertRaisesWithPredicateMatch;3057;3094;3090;;;;;;
tensorflow\python\framework\test_util.py;_constrain_devices_and_set_default;3193;3211;3196,3206,3208,3211;;;;;;
tensorflow\python\framework\test_util.py;_fake_gradient_tape_context_manager;3406;3433;3431;;;;;;
tensorflow\python\framework\test_util.py;run_functions_eagerly;3459;3493;3491;;;;;;
tensorflow\python\util\tf_contextlib_test.py;test_yield_append_before_and_after_yield;29;32;31;;;;;;
tensorflow\python\util\tf_contextlib_test.py;test_yield_return_x_plus_1;36;37;37;;;;;;
tensorflow\python\data\util\nest.py;_yield_value;81;94;89,91,94;;;;;;
tensorflow\python\data\util\nest.py;_yield_flat_up_to;248;256;254,256;;;;;;
tensorflow\python\keras\engine\training_generator_test.py;custom_generator;44;64;60,62,64;;;;;;
tensorflow\python\keras\engine\training_generator_test.py;custom_generator_changing_batch_size;67;90;86,88, 90;;;;;;
tensorflow\python\keras\engine\training_generator_test.py;invalid_generator;236;238;238;;;;;;
tensorflow\python\keras\engine\training_generator_test.py;ones_generator;279;281;281;;;;;;
tensorflow\python\keras\engine\training_generator_test.py;data_gen;349;370;366, 370;;;;;;
tensorflow\python\keras\engine\training_generator_test.py;_gen;503;505;505;;;;;;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;47;49;49;;;;;;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;70;72;72;;;;;;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;88;90;90;;;;;;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;103;105;105;;;;;;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;126;128;128;;;;;;
tensorflow\lite\python\optimize\calibrator_test.py;empty_input_gen;149;151;151;;;;;;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;164;166;166;;;;;;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;180;182;182;;;;;;
tensorflow\lite\python\optimize\calibrator_test.py;input_gen;195;197;197;;;;;;
tensorflow\python\training\saving\saveable_object_util.py;saveable_objects_for_op;139;223;159,168,182,185,199,208,221,223;;;;;;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_interleave;170;190;184;;;;;;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_next_record;198;201;201;;;;;;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_next_record_interleaved;203;247;232,244;;;;;;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_interleave;314;334;328;;;;;;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_next_record;339;342;342;;;;;;
tensorflow\python\data\experimental\kernel_tests\reader_dataset_ops_test_base.py;_next_expected_batch;336;366;362,366;;;;;;
tensorflow\python\keras\utils\data_utils.py;chunk_read;83;97;95;;;;;;
tensorflow\python\keras\utils\data_utils.py;__iter__;480;483;483;;;;;;
tensorflow\python\keras\utils\data_utils.py;iter_sequence_infinite;486;497;497;;;;;;
tensorflow\python\keras\utils\data_utils.py;get;762;783;778;;;;;;
tensorflow\python\keras\utils\data_utils.py;get;880;916;895,908;;;;;;
tensorflow\python\eager\context.py;_mode;808;823;819;;;;;;
tensorflow\python\eager\context.py;device_policy;2131;2139;2137;;;;;;
tensorflow\python\eager\context.py;execution_mode;2149;2163;2152,216;;;;;;
tensorflow\python\eager\context.py;executor_scope;2167;2183;2181;;;;;;
tensorflow\python\eager\context.py;function_executor_type;2188;2206;2204;;;;;;
tensorflow\python\eager\context.py;collect_graphs;2264;2301;2293;;;;;;
tensorflow\python\eager\context.py;async_scope;2322;2365;2356;;;;;;
